cluster,label,keywords,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_vocabs_present,rep_top_tokens_preview,steering_features
0,shenan / unlaw / welcome,"shenan, unlaw, welcome, snoopy, options, new, maneu, disreg",24,0.012521565039477234,0.24218560791015625,557,0.24218560791015625,"clar_vocab2,combined,question"," it,  there,  they,  if,  we","[557, 320, 439]"
2,waiting / video / sp,"waiting, video, sp, side, protection, physical, men, iphone",22,0.04464885208407544,0.9736290092468262,432,0.9736290092468262,clar_vocab2," physical, physical, Physical,  Physical,  PHYSICAL","[432, 538, 802]"
1,<bos> / unspeak / shenan,"<bos>, unspeak, shenan, intersper, expandindo, betweenstory, GEBURTSDATUM, Autoritní",10,0.33413149716015905,0.99999609375,492,0.99999609375,clar_vocab2,"<bos>, GEBURTSDATUM, expandindo,  betweenstory, Autoritní","[492, 505, 103]"
