cluster,label,keywords,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_vocabs_present,rep_top_tokens_preview,steering_features
0,toy / sizeof / love,"toy, sizeof, love, facts, case, bridges, blog, almost",27,0.0014922218017745764,0.02540518909692764,81,0.02540518909692764,combined," love,  liefde, love, HomeAsUpEnabled,  braccia","[81, 249, 642]"
4,filepath / sti / smokes,"filepath, sti, smokes, sikan, import, httphttps, filePath, disposing",10,3.3894318551756436e-05,0.0002948716506361961,526,0.0002948716506361961,combined,"//,  //, ﻿//, )//, {//","[526, 400, 406]"
1,pool / generation / body,"pool, generation, body, Three, Pool, Generation, Body, slightly",10,1.5047444030642508e-06,8.707155240699649e-06,512,8.707155240699649e-06,combined," bit,  little,  beetje, slightly,  کمی","[512, 199, 92]"
3,requested / request / cold,"requested, request, cold, Uganda, Cold, Celsius, winter, requesting",5,0.00019387450404465199,0.0009629514440894127,165,0.0009629514440894127,combined," cold,  Cold, Cold, cold,  winter","[165, 591, 108]"
2,bubble / army / spells,"bubble, army, spells, spell, mesmer, hypnosis, hypno, bubbles",3,1.010362881546219e-05,2.9874211410060525e-05,785,2.9874211410060525e-05,combined," hypnosis,  hypno,  spell,  spells,  mesmer","[785, 509, 354]"
