cluster,label,keywords,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_vocabs_present,rep_top_tokens_preview,steering_features
2,waiting / video / sp,"waiting, video, sp, side, protection, physical, men, iphone",22,0.04464885208407544,0.9736290092468262,432,0.9736290092468262,clar_vocab2," physical, physical, Physical,  Physical,  PHYSICAL","[432, 538, 802]"
1,options / impra / Și,"options, impra, Și, we, uniform, tramit, they, therefore",12,0.02203974264386731,0.24218560791015625,557,0.24218560791015625,"clar_vocab2,combined,question"," it,  there,  they,  if,  we","[557, 439, 375]"
0,<bos> / intersper / unspeak,"<bos>, intersper, unspeak, shenan, expandindo, betweenstory, GEBURTSDATUM, Autoritní",10,0.33413149716015905,0.99999609375,492,0.99999609375,clar_vocab2,"<bos>, GEBURTSDATUM, expandindo,  betweenstory, Autoritní","[492, 505, 103]"
3,unlaw / shenan / welcome,"unlaw, shenan, welcome, snoopy, new, maneu, New, welcomed",9,2.4879148488657337e-05,0.00022018033824861049,261,0.00022018033824861049,"clar_vocab2,combined,question"," welcome, welcome,  Welcome,  welcomed,  WELCOME","[261, 560, 675]"
4,yourself / personally / ever,"yourself, personally, ever, bootstrapcdn, SourceChecksum, EVER, CreateTagHelper, </em>",3,0.011938912294882658,0.03579600048065185,320,0.03579600048065185,"combined,question","”, "", "":, </em>, "",","[320, 210, 397]"
